TYPE;Model;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Energy_J
ProLiteX;TP4400-2SPX25;7.4;4400;205;158.8292683;220;7941.463415;117216
ProLiteX;TP4400-3SPX25;11.1;4400;306;159.6078431;220;7980.392157;175824
ProLiteX;TP4400-4SPX25;14.8;4400;406;160.3940887;220;8019.704433;234432
ProLiteX;TP4400-5SPX25;18.5;4400;505;161.1881188;220;8059.405941;293040
ProLiteX;TP4400-6SPX25;22.2;4400;601;162.5291181;220;8126.455907;351648
ProLiteX;TP4400-7SPX25;25.9;4400;701;162.5677603;220;8128.388017;410256
ProLiteX;TP4400-8SPX25;29.6;4400;801;162.5967541;220;8129.837703;468864
ProLiteX;TP4400-8SPX25L;29.6;4400;811;160.5918619;220;8029.593095;468864
ProLiteX;TP4400-9SPX25;33.3;4400;902;162.4390244;220;8121.95122;527472
ProLiteX;TP4400-10SPX25;37;4400;994;163.7826962;220;8189.134809;586080
ProLiteX;TP5000-2SPX25;7.4;5000;237;156.1181435;250;7805.907173;133200
ProLiteX;TP5000-3SPX25;11.1;5000;349;159.025788;250;7951.289398;199800
ProLiteX;TP5000-4SPX25;14.8;5000;465;159.1397849;250;7956.989247;266400
ProLiteX;TP5000-5SPX25;18.5;5000;574;161.1498258;250;8057.491289;333000
ProLiteX;TP5000-6SPX25L;22.2;5000;705;157.4468085;250;7872.340426;399600
ProLiteX;TP5000-7SPX25;25.9;5000;813;159.2865929;250;7964.329643;466200
ProLiteX;TP5000-8SPX25;29.6;5000;930;159.1397849;250;7956.989247;532800
ProLiteX;TP5000-8SPX25L;29.6;5000;940;157.4468085;250;7872.340426;532800
ProLiteX;TP5000-9SPX25;33.3;5000;1046;159.1778203;250;7958.891013;599400
ProLiteX;TP5000-10SPX25;37;5000;1162;159.2082616;250;7960.413081;666000
ProLiteX;TP5000-10SPX25L;37;5000;1172;157.8498294;250;7892.491468;666000
ProLiteX;TP6000-2SPX25;7.4;6000;256;173.4375;300;8671.875;159840
ProLiteX;TP6000-3SPX25;11.1;6000;372;179.0322581;300;8951.612903;239760
ProLiteX;TP6000-4SPX25;14.8;6000;490;181.2244898;300;9061.22449;319680
ProLiteX;TP6000-5SPX25;18.5;6000;638;173.9811912;300;8699.059561;399600
ProLiteX;TP6000-6SPX25;22.2;6000;743;179.2732167;300;8963.660834;479520
ProLiteX;TP6800-2SPX25;7.4;6800;326;154.3558282;340;7717.791411;181152
ProLiteX;TP6800-3SPX25;11.1;6800;484;155.9504132;340;7797.520661;271728
ProLiteX;TP6800-4SPX25;14.8;6800;619;162.5848142;340;8129.240711;362304
ProLiteX;TP6800-5SPX25;18.5;6800;771;163.1647211;340;8158.236057;452880
ProLiteX;TP6800-6SPX25;22.2;6800;907;166.4388093;340;8321.940463;543456
ProLiteX;TP8000-2SPX25;7.4;8000;350;169.1428571;400;8457.142857;213120
ProLiteX;TP8000-3SPX25;11.1;8000;526;168.8212928;400;8441.064639;319680
ProLiteX;TP8000-4SPX25;14.8;8000;701;168.9015692;400;8445.078459;426240
ProLiteX;TP8000-5SPX25;18.5;8000;859;172.2933644;400;8614.668219;532800
