TYPE;Model;Kv_rpm_v;R_ohm;Mass_g;Imax_A;Voltage;Tnom_Nm
SCORPION;?Scorpion SII-3008-1220KV (V2);1220;0.042;95;32;44.4;0.243
SCORPION;?Scorpion SII-3014-830KV (V2);830;0.042;129;30;44.4;0.333
SCORPION;?Scorpion SII-3014-1040KV (V2);1040;0.026;129;40;44.4;0.355
SCORPION;?Scorpion SII-3014-1220KV (V2);1220;0.018;129;46;44.4;0.347
SCORPION;?Scorpion SII-4020-420KV;420;0.032;288;70;44.4;1.571
SCORPION;?Scorpion SII-4020-540KV;540;0.02;288;85;44.4;1.482
SCORPION;?Scorpion SII-4020-630KV;630;0.015;288;95;44.4;1.417
SCORPION;?Scorpion SII-4025-330KV;330;0.037;353;75;44.4;2.149
SCORPION;?Scorpion SII-4025-440KV;440;0.025;353;85;44.4;1.821
SCORPION;?Scorpion SII-4025-520KV;520;0.016;353;100;44.4;1.811
SCORPION;?Scorpion SII-4035-250KV;250;0.037;450;65;44.4;2.456
SCORPION;?Scorpion SII-4035-330KV;330;0.031;435;65;44.4;1.84
SCORPION;?Scorpion SII-4035-380KV;380;0.025;435;70;44.4;1.721
SCORPION;?Scorpion SII-4035-450KV;450;0.026;435;80;44.4;1.661
SCORPION;Scorpion S-5028-220KV (F3A Limited Series);220;0.032;576;70;44.4;2.996
SCORPION;?Scorpion SII-5525-170KV;170;0.042;708;70;44.4;3.888
SCORPION;?Scorpion SII-5525-195KV;210;0.026;708;90;44.4;4.042
SCORPION;?Scorpion SII-5525-210KV;195;0.034;708;80;44.4;3.875
SCORPION;?Scorpion SII-5535-160KV;160;0.027;906;90;44.4;5.305
SCORPION;?Scorpion SII-5535-190KV;190;0.022;906;95;44.4;4.712
SCORPION;Scorpion SII-6530-180KV;180;0.022;1043;110;44.4;5.769
SCORPION;Scorpion SII-6530-150KV;150;0.032;1043;95;44.4;5.975
KDEDirect;KDE1806XF-2350;2350;0.117;18;18;7.4;0.073143548
KDEDirect;KDE2304XF-2350;2350;0.091;24;20;7.4;0.081270609
KDEDirect;KDE2306XF-2050;2050;0.068;29;24;7.4;0.111796643
KDEDirect;KDE2306XF-2550;2550;0.044;29;34;7.4;0.127323954
KDEDirect;KDE2315XF-2050;2050;0.034;64;44;7.4;0.204960512
KDEDirect;KDE2315XF-965;965;0.102;64;26;11.1;0.257286747
KDEDirect;KDE2315XF-885;885;0.127;64;24;11.1;0.258963975
KDEDirect;KDE2814XF-775;775;0.069;95;36;11.1;0.443580228
KDEDirect;KDE2814XF-515;515;0.13;95;24;14.8;0.445015763
KDEDirect;KDE3510XF-715;715;0.054;120;45;11.1;0.60100468
KDEDirect;KDE3510XF-475;475;0.105;120;30;14.8;0.603113469
KDEDirect;KDE4012XF-400;400;0.08;145;32;14.8;0.763943727
KDEDirect;KDE4014XF-380;380;0.075;160;36;14.8;0.904670203
KDEDirect;KDE4213XF-360;360;0.081;175;38;14.8;1.007981306
KDEDirect;KDE3520XF-400;400;0.078;190;45;14.8;1.074295866
KDEDirect;KDE4215XF-465;465;0.052;195;62;14.8;1.273239545
KDEDirect;KDE5215XF-435;435;0.031;305;72;14.8;1.580573228
KDEDirect;KDE5215XF-330;330;0.044;305;62;14.8;1.794110268
KDEDirect;KDE5215XF-220;220;0.078;305;44;22.2;1.909859317
KDEDirect;KDE6213XF-185;185;0.072;360;62;22.2;3.200304802
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;0.0231;1.2;0.468;3;0.000215
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;0.0881;1.2;0.263;6;0.000222
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;0.00946;1.8;1.15;3;0.000319
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;0.0668;1.8;0.358;6;0.000341
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;7900;0.065;3;0.688;6;0.000339
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;3040;0.436;3;0.188;12;0.00033
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;0.005;3;3.92;3;0.000394
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;10800;0.03;3;1.72;6;0.000398
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;5460;0.118;3;0.97;12;0.00041
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;6200;0.039;6;1.98;6;0.000977
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;3770;0.106;6;1.54;12;0.000942
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;1830;0.447;6;0.755;24;0.000944
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;8340;0.00998;13;10.4;6;0.00174
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;5920;0.0198;13;8.05;9;0.00163
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;4500;0.0342;13;6.46;12;0.00162
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;3220;0.0671;13;5.27;18;0.00161
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;5000;0.021;19;4.08;6;0.00223
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;3520;0.042;19;3.52;9;0.00236
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;2380;0.091;19;2.06;12;0.00232
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1610;0.198;19;1.35;18;0.00224
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1200;0.357;19;0.973;24;0.00221
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;4100;0.0103;29;9.31;6;0.00515
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2730;0.0233;29;7.85;9;0.00564
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2050;0.0413;29;5.1;12;0.00513
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1410;0.0879;29;4.24;18;0.00553
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1020;0.165;29;2.67;24;0.00518
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;751;0.308;29;2.38;36;0.00538
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;5480;0.018;37;34.5;12;0.00463
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;2740;0.072;37;18.4;24;0.00463
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;1590;0.213;37;11.4;48;0.00412
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;6140;0.007;44;74.8;12;0.00691
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;3070;0.026;44;46.8;24;0.00717
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;1540;0.104;44;24.5;48;0.00717
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;3760;0.0235;34;29.8;12;0.00785
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;2380;0.059;34;19.4;18;0.00801
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1810;0.102;34;15.6;24;0.00809
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1290;0.2;34;11.1;36;0.00756
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;836;0.477;34;6.35;48;0.00787
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;3120;0.02;58;51.4;12;0.0172
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;2420;0.033;58;52;18;0.0169
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1820;0.059;58;42.2;24;0.017
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1360;0.104;58;32.8;32;0.017
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;873;0.254;58;20.5;48;0.0171
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;2550;0.0182;85;49.1;12;0.0209
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;1470;0.0546;85;37.4;24;0.0207
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;882;0.152;85;20.4;36;0.0204
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;716;0.231;85;17.7;48;0.0201
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1730;0.0178;128;116;18;0.0493
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1230;0.035;128;89.1;24;0.0485
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;672;0.118;128;60.2;48;0.0476
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;278;0.626;210;13.4;48;0.0579
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;285;0.626;210;10.3;48;0.044
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;290;0.626;210;8.98;48;0.0324
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;296;0.626;210;7.93;48;0.0149
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;278;0.626;210;13.4;48;0.149
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;285;0.626;210;10.3;48;0.12
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;290;0.626;210;8.98;48;0.0922
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;296;0.626;210;7.93;48;0.0558
maxon EC ;EC 25 ?25 mm, brushless, 250 Watt;1780;0.014;240;294;36;0.0351
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;1280;0.03;270;57.2;12;0.0446
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;806;0.0752;270;37.4;18;0.0452
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;737;0.09;270;31.4;18;0.0459
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;465;0.226;270;17.3;24;0.0472
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;414;0.285;270;19.7;36;0.0438
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;239;0.856;270;8.84;48;0.0459
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;659;0.0329;580;181;15;0.171
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;412;0.0843;580;115;24;0.165
